section,filename,kind,size,sha256,relpath
1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems,CIA Note - Venezuela Machines Intel Memo_29JUNE2026_DECLASS_REDACTED.pdf,pdf,611116,4a7be62c0901e6de3b0cfee37046ea5ece1a79a0e647d6f4cdae659705148594,1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems/CIA Note - Venezuela Machines Intel Memo_29JUNE2026_DECLASS_REDACTED.pdf
1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems,CIA Wire Memo Summer 2020 DECLASS REDACTED.pdf,pdf,522629,1be94e7fa86a729a2c16266fd32ed1947793903b5fa50577c9648c697dc0c48b,1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems/CIA Wire Memo Summer 2020 DECLASS REDACTED.pdf
1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems,CISA Election Report - FINAL.pdf,pdf,419619,3c6db961603260a77dce4548b7e5a7f5a6fd2b964345ab4a46eb1d3c61485c22,1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems/CISA Election Report - FINAL.pdf
1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems,EMAIL_Everyone's favorite topic_23DEC2021_DECLASS_REDACTED.pdf,pdf,196369,efa073c1baba2f629a41e0c29841a15acf00dc1b7c4ea62fa9e0b208a69619fe,1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems/EMAIL_Everyone's favorite topic_23DEC2021_DECLASS_REDACTED.pdf
1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems,EMAIL_ICA.CommentsReMinorityView_30DEC2020_DECLASS REDACTED.pdf,pdf,630820,d393d981518232384b3ca27d077ee5337876d873bd0399a07f98f8e1f5cc432b,1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems/EMAIL_ICA.CommentsReMinorityView_30DEC2020_DECLASS REDACTED.pdf
1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems,NICA_ Foreign Threats to 2020 US election_19AUG2020 - DECLASS_REDACTED.pdf,pdf,1857619,6e22be494ee83716d2251e71c253ea6d78048694886b7006ce449a336aa9882b,1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems/NICA_ Foreign Threats to 2020 US election_19AUG2020 - DECLASS_REDACTED.pdf
1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems,NICM_ChinaStepsToInfluenceElection_16OCT2020_DECLASS_REDACTED.pdf,pdf,5108237,a16aec843fddd6c525251ab4e4b2b2be1e5cee9aeca4b7bae6a59c9bf3bb2a6d,1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems/NICM_ChinaStepsToInfluenceElection_16OCT2020_DECLASS_REDACTED.pdf
1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems,NICM_VulnerabilitiesInUS2020ElectionInfrastructure_15JAN2020_DECLASS_REDACTEDed.pdf,pdf,1396984,9105174603df72f1c9142b8e0bb56e1e036dc6d4f3dbaf559aada1e2b7e22d4c,1. Vulnerabilities in Electronic Voting and Ballot-Counting Systems/NICM_VulnerabilitiesInUS2020ElectionInfrastructure_15JAN2020_DECLASS_REDACTEDed.pdf
2. China’s Acquisition and Exploitation of American Voter Data,18 States Memo - clean - declass mark_Redacted.pdf,pdf,1020762,670b2086769369ee037067abe60a6c5ed04b0ab95a283caddb662fe6f450278a,2. China’s Acquisition and Exploitation of American Voter Data/18 States Memo - clean - declass mark_Redacted.pdf
2. China’s Acquisition and Exploitation of American Voter Data,200M Voter Records Compromised - declass marked_Redacted.pdf,pdf,3590558,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,2. China’s Acquisition and Exploitation of American Voter Data/200M Voter Records Compromised - declass marked_Redacted.pdf
2. China’s Acquisition and Exploitation of American Voter Data,CIA Wire Memo Summer 2020 DECLASS_REDACTED.pdf,pdf,522629,1be94e7fa86a729a2c16266fd32ed1947793903b5fa50577c9648c697dc0c48b,2. China’s Acquisition and Exploitation of American Voter Data/CIA Wire Memo Summer 2020 DECLASS_REDACTED.pdf
2. China’s Acquisition and Exploitation of American Voter Data,EMAIL_Everyone's favorite topic 23DEC2021 - DECLASS_REDACTED.pdf,pdf,196369,efa073c1baba2f629a41e0c29841a15acf00dc1b7c4ea62fa9e0b208a69619fe,2. China’s Acquisition and Exploitation of American Voter Data/EMAIL_Everyone's favorite topic 23DEC2021 - DECLASS_REDACTED.pdf
2. China’s Acquisition and Exploitation of American Voter Data,EMAIL_NSA.MassagedPDB_20NOV2020_DECLASS_REDACT.pdf,pdf,1192989,bb2b9cbb2c9833028ccf1b2f32d5d009203b60690b0fcb88bb34357014aec12e,2. China’s Acquisition and Exploitation of American Voter Data/EMAIL_NSA.MassagedPDB_20NOV2020_DECLASS_REDACT.pdf
2. China’s Acquisition and Exploitation of American Voter Data,EMAIL_NSA.MassagedPDB_23NOV2020_DECLASS_REDACT.pdf,pdf,2154957,3b4950eaeef104c15054ef1367abd9ac2d67438ed1e0ff286a1621db9d78965b,2. China’s Acquisition and Exploitation of American Voter Data/EMAIL_NSA.MassagedPDB_23NOV2020_DECLASS_REDACT.pdf
